epoch,total,pde,ic,seis,bc
0,9.7847652435e+00,1.2043208313e+02,4.7029490471e+00,4.1316075325e+00,3.3036434650e+00
1,7.6708865166e-01,1.2266939163e+01,2.2371490300e-01,4.4285854697e-01,2.6135894656e-01
2,6.0386977196e+00,7.6218109131e+01,2.5960204601e+00,2.7740395069e+00,2.3117232323e+00
3,4.3483181000e+00,5.0672981262e+01,1.8108541965e+00,2.0412383080e+00,1.6217832565e+00
4,1.0996434689e+00,1.0702443123e+01,3.3870232105e-01,6.1661022902e-01,3.5574021935e-01
5,4.3845567107e-01,2.0416913033e+00,8.3940155804e-02,2.9293119907e-01,3.2931409776e-02
6,1.6939712763e+00,1.2725574493e+01,7.0884084702e-01,7.9909622669e-01,3.3935385942e-01
7,2.5968105793e+00,1.9333868027e+01,1.1464102268e+00,1.1714930534e+00,5.4959666729e-01
8,2.2468080521e+00,1.5032826424e+01,9.8131316900e-01,1.0232579708e+00,4.3312144279e-01
9,1.2351993322e+00,6.7116551399e+00,4.9551147223e-01,6.0156166553e-01,1.8951258063e-01
10,4.4398388267e-01,1.9145061970e+00,1.0544106364e-01,2.7791199088e-01,4.5032311231e-02
11,3.0628424883e-01,3.0599322319e+00,1.8168339506e-02,2.3251600564e-01,8.3767078817e-02
12,6.7982017994e-01,7.7954277992e+00,1.7322024703e-01,4.0143987536e-01,2.2098168731e-01
13,1.1148844957e+00,1.1989939690e+01,3.6492171884e-01,5.9088194370e-01,3.5224196315e-01
14,1.2494039536e+00,1.2931388855e+01,4.2619523406e-01,6.4698630571e-01,3.8951614499e-01
15,1.0334092379e+00,1.0580655098e+01,3.3219820261e-01,5.4999363422e-01,3.4242564440e-01
16,6.5780109167e-01,6.8170251846e+00,1.6987176239e-01,3.8459765911e-01,1.8927323818e-01
17,3.6372917891e-01,3.5434477329e+00,4.5710563660e-02,2.5373831391e-01,7.9609297216e-02
18,2.7685329318e-01,1.7110301256e+00,1.5219105408e-02,2.1260458231e-01,3.1086446717e-02
19,3.7320026755e-01,1.2220758200e+00,6.5855987370e-02,2.5205466151e-01,2.2604966536e-02
20,5.3494811058e-01,1.4043625593e+00,1.4261558652e-01,3.2177177072e-01,3.3893175423e-02
21,6.3988012075e-01,1.5590645075e+00,1.8959534168e-01,3.6886906624e-01,4.8158537596e-02
22,6.2878233194e-01,1.3674584627e+00,1.8112072349e-01,3.6744809151e-01,3.7374787033e-02
23,5.2354472876e-01,9.2342764139e-01,1.2826795876e-01,3.2550364733e-01,2.4553311989e-02
24,3.9205250144e-01,5.3234994411e-01,6.3615866005e-02,2.7146458626e-01,1.1822535656e-02
25,3.0167236924e-01,4.7688129544e-01,1.8854124472e-02,2.3368722200e-01,8.6733242497e-03
26,2.8329983354e-01,8.1769281626e-01,8.3584226668e-03,2.2521743178e-01,2.4066189304e-02
27,3.2216811180e-01,1.3761414289e+00,2.5514598936e-02,2.4019677937e-01,4.6713594347e-02
28,3.7627768517e-01,1.9136527777e+00,5.0959739834e-02,2.6122111082e-01,6.0879439116e-02
29,4.0626889467e-01,2.2382783890e+00,6.6015906632e-02,2.7157500386e-01,7.3274105787e-02
30,3.9494454861e-01,2.2260200977e+00,6.2790237367e-02,2.6447623968e-01,7.4927560985e-02
31,3.5269805789e-01,1.9869860411e+00,4.5951277018e-02,2.4478971958e-01,5.5633738637e-02
32,3.0656215549e-01,1.6397446394e+00,2.7023512870e-02,2.2382292151e-01,4.4561956078e-02
33,2.7868968248e-01,1.3250216246e+00,1.6105966642e-02,2.1160301566e-01,2.7517786250e-02
34,2.7703955770e-01,1.0968655348e+00,1.6337800771e-02,2.1152105927e-01,1.3152340427e-02
35,2.9342788458e-01,9.5195782185e-01,2.3577786982e-02,2.1978279948e-01,1.1014873162e-02
36,3.1071424484e-01,8.2890170813e-01,3.0348986387e-02,2.2895672917e-01,1.2622466311e-02
37,3.1514567137e-01,6.9947469234e-01,3.0963174999e-02,2.3284424841e-01,8.8754827157e-03
38,3.0417886376e-01,5.6477099657e-01,2.4626627564e-02,2.2967037559e-01,7.1671484038e-03
39,2.8485637903e-01,4.4934234023e-01,1.5052224509e-02,2.2210964561e-01,6.7502441816e-03
40,2.6836788654e-01,4.1019085050e-01,7.5058923103e-03,2.1480071545e-01,6.9811935537e-03
41,2.6257586479e-01,4.5361840725e-01,5.4062455893e-03,2.1123880148e-01,1.1032131501e-02
42,2.6714396477e-01,5.3132092953e-01,8.4934076294e-03,2.1189659834e-01,1.2307928875e-02
43,2.7625718713e-01,6.1908382177e-01,1.3484146446e-02,2.1450725198e-01,1.7297489569e-02
44,2.8190872073e-01,6.9231718779e-01,1.6492430121e-02,2.1600317955e-01,2.1027440205e-02
45,2.7933248878e-01,6.8671357632e-01,1.5454586595e-02,2.1460968256e-01,2.1993920207e-02
46,2.7023413777e-01,6.5293717384e-01,1.1124437675e-02,2.1082127094e-01,2.0425388590e-02
47,2.5979629159e-01,5.9726387262e-01,6.1663296074e-03,2.0676782727e-01,1.5056557953e-02
48,2.5400537252e-01,5.6172412634e-01,3.2472023740e-03,2.0464506745e-01,1.2437585741e-02
49,2.5475350022e-01,5.4745167494e-01,3.3865228761e-03,2.0529301465e-01,9.7446581349e-03
50,2.5996455550e-01,5.5733156204e-01,5.5635408498e-03,2.0779903233e-01,7.0712035522e-03
51,2.6510530710e-01,5.5352193117e-01,7.6586459763e-03,2.1025341749e-01,7.7282148413e-03
52,2.6619431376e-01,5.3303033113e-01,7.9515697435e-03,2.1103189886e-01,6.7522246391e-03
53,2.6250129938e-01,4.9155664444e-01,6.1678336933e-03,2.0973920822e-01,5.3043924272e-03
54,2.5641328096e-01,4.3633985519e-01,3.4611085430e-03,2.0726720989e-01,5.2719032392e-03
55,2.5161823630e-01,4.0819311142e-01,1.4875391498e-03,2.0505605638e-01,5.5337501690e-03
56,2.5048422813e-01,4.0832093358e-01,1.2869455386e-03,2.0413437486e-01,7.2658029385e-03
57,2.5247740746e-01,4.0864592791e-01,2.6884907857e-03,2.0456749201e-01,7.2320573963e-03
58,2.5569650531e-01,4.1771566868e-01,4.5504365116e-03,2.0558479428e-01,6.8586240523e-03
59,2.5784429908e-01,4.3872368336e-01,5.5848248303e-03,2.0622059703e-01,8.0605791882e-03
60,2.5696256757e-01,4.2027464509e-01,5.1670130342e-03,2.0596992970e-01,7.1479803883e-03
61,2.5432306528e-01,4.0412530303e-01,3.6373592447e-03,2.0505079627e-01,8.5485689342e-03
62,2.5116348267e-01,3.7746500969e-01,1.9351399969e-03,2.0413321257e-01,6.0574607924e-03
63,2.4967837334e-01,3.6399462819e-01,9.3683524756e-04,2.0382234454e-01,5.4441182874e-03
64,2.5013056397e-01,3.5786539316e-01,9.1642385814e-04,2.0424619317e-01,4.9021169543e-03
65,2.5178250670e-01,3.6825224757e-01,1.5010236530e-03,2.0503214002e-01,4.0969140828e-03
66,2.5311896205e-01,3.6939850450e-01,2.0342592616e-03,2.0561358333e-01,4.5789577998e-03
67,2.5319075584e-01,3.6768448353e-01,2.0610047504e-03,2.0562583208e-01,4.3579740450e-03
68,2.5206610560e-01,3.5549443960e-01,1.5965544153e-03,2.0511671901e-01,4.7702169977e-03
69,2.5045618415e-01,3.3131250739e-01,1.0173724731e-03,2.0444077253e-01,4.7304383479e-03
70,2.4955345690e-01,3.2294586301e-01,7.3354365304e-04,2.0397783816e-01,4.3734428473e-03
71,2.4974867702e-01,3.2450842857e-01,8.9606666006e-04,2.0388841629e-01,5.4031228647e-03
72,2.5022447109e-01,3.1104236841e-01,1.3268695911e-03,2.0405802131e-01,4.5808968134e-03
73,2.5076380372e-01,3.0103325844e-01,1.6952552833e-03,2.0424093306e-01,4.8842802644e-03
74,2.5100621581e-01,3.0898377299e-01,1.7594760284e-03,2.0425899327e-01,4.9830609933e-03
75,2.5038993359e-01,2.9050183296e-01,1.5204130905e-03,2.0411679149e-01,4.5423433185e-03
76,2.4978335202e-01,2.8478291631e-01,1.1691304389e-03,2.0395421982e-01,3.9680190384e-03
