# source time function
# time function type  : 1
# amplification factor:  1.00000E+10
# DT                  :  5.00000E-05
# t0                  :  1.20000E-01
# time shift          :  0.00000E+00
# format
#time  #used_STF  #initial_source_function_value
 -0.119999997      -2.30538136E-13  -2.3053813632406551E-023
 -0.119949996      -2.41516930E-13  -2.4151693015297960E-023
 -0.119900003      -2.53013485E-13  -2.5301348472936414E-023
 -0.119850002      -2.65051951E-13  -2.6505195065661123E-023
 -0.119800001      -2.77657671E-13  -2.7765767116050278E-023
 -0.119750001      -2.90857047E-13  -2.9085704656393872E-023
 -0.119700000      -3.04677778E-13  -3.0467777823242617E-023
 -0.119649999      -3.19148814E-13  -3.1914881436397037E-023
 -0.119599998      -3.34300458E-13  -3.3430045840929233E-023
 -0.119549997      -3.50164369E-13  -3.5016436907182867E-023
 -0.119499996      -3.66773750E-13  -3.6677375004311174E-023
 -0.119450003      -3.84163214E-13  -3.8416321447749814E-023
 -0.119400002      -4.02369083E-13  -4.0236908314776610E-023
 -0.119350001      -4.21429249E-13  -4.2142924891984398E-023
 -0.119300000      -4.41383421E-13  -4.4138342069829916E-023
 -0.119250000      -4.62273123E-13  -4.6227312342633776E-023
 -0.119199999      -4.84141752E-13  -4.8414175229591350E-023
 -0.119149998      -5.07034735E-13  -5.0703473537805356E-023
 -0.119099997      -5.30999561E-13  -5.3099956072791277E-023
 -0.119050004      -5.56085831E-13  -5.5608583059488240E-023
 -0.119000003      -5.82345641E-13  -5.8234564089335026E-023
 -0.118950002      -6.09833202E-13  -6.0983320173194079E-023
 -0.118900001      -6.38605434E-13  -6.3860543372470936E-023
 -0.118850000      -6.68721643E-13  -6.6872164273049094E-023
 -0.118799999      -7.00244062E-13  -7.0024406195398627E-023
 -0.118749999      -7.33237635E-13  -7.3323763510532714E-023
 -0.118699998      -7.67770342E-13  -7.6777034166072844E-023
 -0.118649997      -8.03913305E-13  -8.0391330528270523E-023
 -0.118600003      -8.41740740E-13  -8.4174073960996409E-023
 -0.118550003      -8.81330436E-13  -8.8133043614838091E-023
 -0.118500002      -9.22763493E-13  -9.2276349322045764E-023
 -0.118450001      -9.66125075E-13  -9.6612507490684280E-023
 -0.118400000      -1.01150392E-12  -1.0115039231553546E-022
 -0.118349999      -1.05899285E-12  -1.0589928456719576E-022
 -0.118299998      -1.10868910E-12  -1.1086890953915240E-022
 -0.118249997      -1.16069405E-12  -1.1606940452171810E-022
 -0.118199997      -1.21511416E-12  -1.2151141638022667E-022
 -0.118150003      -1.27206004E-12  -1.2720600397683745E-022
 -0.118100002      -1.33164790E-12  -1.3316478995883951E-022
 -0.118050002      -1.39399917E-12  -1.3939991739056468E-022
 -0.118000001      -1.45924050E-12  -1.4592404975338758E-022
 -0.117950000      -1.52750436E-12  -1.5275043599785599E-022
 -0.117899999      -1.59892954E-12  -1.5989295391177772E-022
 -0.117849998      -1.67366088E-12  -1.6736608843617718E-022
 -0.117799997      -1.75184997E-12  -1.7518499671742571E-022
 -0.117749996      -1.83365476E-12  -1.8336547558117644E-022
 -0.117700003      -1.91924124E-12  -1.9192412416269012E-022
 -0.117650002      -2.00878181E-12  -2.0087818127650925E-022
 -0.117600001      -2.10245753E-12  -2.1024575309891435E-022
 -0.117550001      -2.20045748E-12  -2.2004574811579360E-022
 -0.117500000      -2.30297899E-12  -2.3029789880668616E-022
 -0.117449999      -2.41022892E-12  -2.4102289174904311E-022
 -0.117399998      -2.52242216E-12  -2.5224221582992311E-022
 -0.117349997      -2.63978531E-12  -2.6397853087473111E-022
 -0.117299996      -2.76255342E-12  -2.7625534238656659E-022
 -0.117250003      -2.89097305E-12  -2.8909730512283184E-022
 -0.117200002      -3.02530136E-12  -3.0253013635905821E-022
 -0.117150001      -3.16580768E-12  -3.1658076767721034E-022
 -0.117100000      -3.31277280E-12  -3.3127727991355549E-022
 -0.117050000      -3.46649055E-12  -3.4664905494696808E-022
 -0.116999999      -3.62726862E-12  -3.6272686243510321E-022
 -0.116949998      -3.79542708E-12  -3.7954270802609269E-022
 -0.116899997      -3.97130115E-12  -3.9713011525110974E-022
 -0.116850004      -4.15524126E-12  -4.1552412552436914E-022
 -0.116800003      -4.34761428E-12  -4.3476142824738777E-022
 -0.116750002      -4.54880101E-12  -4.5488010060046321E-022
 -0.116700001      -4.75920258E-12  -4.7592025806397768E-022
 -0.116650000      -4.97923621E-12  -4.9792362073752816E-022
 -0.116599999      -5.20933774E-12  -5.2093377354844875E-022
 -0.116549999      -5.44996253E-12  -5.4499625298798367E-022
 -0.116499998      -5.70158807E-12  -5.7015880731980938E-022
 -0.116449997      -5.96471093E-12  -5.9647109300342564E-022
 -0.116400003      -6.23985108E-12  -6.2398510837502471E-022
 -0.116350003      -6.52755150E-12  -6.5275515027940485E-022
 -0.116300002      -6.82837944E-12  -6.8283794417423046E-022
 -0.116250001      -7.14292774E-12  -7.1429277423429305E-022
 -0.116200000      -7.47181570E-12  -7.4718157008768496E-022
 -0.116149999      -7.81568907E-12  -7.8156890681579933E-022
 -0.116099998      -8.17522439E-12  -8.1752243863419950E-022
 -0.116049998      -8.55112682E-12  -8.5511268205218378E-022
 -0.115999997      -8.94413276E-12  -8.9441327608130731E-022
 -0.115950003      -9.35501416E-12  -9.3550141591625114E-022
 -0.115900002      -9.78457333E-12  -9.7845733251777928E-022
 -0.115850002      -1.02336507E-11  -1.0233650732383027E-021
 -0.115800001      -1.07031233E-11  -1.0703123283495320E-021
 -0.115750000      -1.11939095E-11  -1.1193909514595201E-021
 -0.115699999      -1.17069635E-11  -1.1706963523594459E-021
 -0.115649998      -1.22432871E-11  -1.2243287113300472E-021
 -0.115599997      -1.28039220E-11  -1.2803921985160560E-021
 -0.115549996      -1.33899601E-11  -1.3389960147602854E-021
 -0.115500003      -1.40025404E-11  -1.4002540446589329E-021
 -0.115450002      -1.46428494E-11  -1.4642849432977555E-021
 -0.115400001      -1.53121318E-11  -1.5312131770861548E-021
 -0.115350001      -1.60116816E-11  -1.6011681563954384E-021
 -0.115300000      -1.67428554E-11  -1.6742855366014276E-021
 -0.115249999      -1.75070652E-11  -1.7507065241950668E-021
 -0.115199998      -1.83057874E-11  -1.8305787441441622E-021
 -0.115149997      -1.91405659E-11  -1.9140565868380756E-021
 -0.115099996      -2.00130086E-11  -2.0013008611430293E-021
 -0.115050003      -2.09247966E-11  -2.0924796617638462E-021
 -0.115000002      -2.18776854E-11  -2.1877685427162951E-021
 -0.114950001      -2.28735052E-11  -2.2873505173270913E-021
 -0.114900000      -2.39141727E-11  -2.3914172725403305E-021
 -0.114850000      -2.50016830E-11  -2.5001683015557498E-021
 -0.114799999      -2.61381247E-11  -2.6138124650798568E-021
 -0.114749998      -2.73256712E-11  -2.7325671239641915E-021
 -0.114699997      -2.85665953E-11  -2.8566595269841067E-021
 -0.114650004      -2.98632750E-11  -2.9863275047281589E-021
 -0.114600003      -3.12181808E-11  -3.1218180818193273E-021
 -0.114550002      -3.26339060E-11  -3.2633905994172707E-021
 -0.114500001      -3.41131429E-11  -3.4113142866054602E-021
 -0.114450000      -3.56587156E-11  -3.5658715563657849E-021
 -0.114399999      -3.72735627E-11  -3.7273562708550755E-021
 -0.114349999      -3.89607548E-11  -3.8960754761285798E-021
 -0.114299998      -4.07234975E-11  -4.0723497490846580E-021
 -0.114249997      -4.25651389E-11  -4.2565138913541741E-021
 -0.114200003      -4.44891693E-11  -4.4489169293004948E-021
 -0.114150003      -4.64992350E-11  -4.6499235017982699E-021
 -0.114100002      -4.85991351E-11  -4.8599135132887385E-021
 -0.114050001      -5.07928422E-11  -5.0792842154478993E-021
 -0.114000000      -5.30845090E-11  -5.3084509010759005E-021
 -0.113949999      -5.54784517E-11  -5.5478451693735665E-021
 -0.113899998      -5.79791805E-11  -5.7979180484446501E-021
 -0.113849998      -6.05914138E-11  -6.0591413830746175E-021
 -0.113799997      -6.33200714E-11  -6.3320071408412558E-021
 -0.113750003      -6.61702707E-11  -6.6170270651699782E-021
 -0.113700002      -6.91473823E-11  -6.9147382264489458E-021
 -0.113650002      -7.22569712E-11  -7.2256971239692553E-021
 -0.113600001      -7.55048871E-11  -7.5504887064870023E-021
 -0.113550000      -7.88971943E-11  -7.8897194333293891E-021
 -0.113499999      -8.24402699E-11  -8.2440269888461869E-021
 -0.113449998      -8.61407126E-11  -8.6140712618476552E-021
 -0.113399997      -9.00054406E-11  -9.0005440600560148E-021
 -0.113349997      -9.40416703E-11  -9.4041670284372712E-021
 -0.113300003      -9.82569234E-11  -9.8256923430906089E-021
 -0.113250002      -1.02659041E-10  -1.0265904099027167E-020
 -0.113200001      -1.07256239E-10  -1.0725623861285172E-020
 -0.113150001      -1.12057037E-10  -1.1205703726036021E-020
 -0.113100000      -1.17070367E-10  -1.1707036728925147E-020
 -0.113049999      -1.22305513E-10  -1.2230551293956893E-020
 -0.112999998      -1.27772196E-10  -1.2777219560167197E-020
 -0.112949997      -1.33480546E-10  -1.3348054606066029E-020
 -0.112899996      -1.39441098E-10  -1.3944109755748001E-020
 -0.112850003      -1.45664897E-10  -1.4566489681122618E-020
 -0.112800002      -1.52163407E-10  -1.5216340687462804E-020
 -0.112750001      -1.58948646E-10  -1.5894864591192713E-020
 -0.112700000      -1.66033104E-10  -1.6603310393215053E-020
 -0.112650000      -1.73429826E-10  -1.7342982605583757E-020
 -0.112599999      -1.81152413E-10  -1.8115241251503987E-020
 -0.112549998      -1.89215060E-10  -1.8921506028668490E-020
 -0.112499997      -1.97632591E-10  -1.9763259084815132E-020
 -0.112450004      -2.06420422E-10  -2.0642042242169368E-020
 -0.112400003      -2.15594681E-10  -2.1559468099674460E-020
 -0.112350002      -2.25172117E-10  -2.2517211706318818E-020
 -0.112300001      -2.35170300E-10  -2.3517029990038907E-020
 -0.112250000      -2.45607479E-10  -2.4560747879931454E-020
 -0.112199999      -2.56502680E-10  -2.5650268020704913E-020
 -0.112149999      -2.67875805E-10  -2.6787580487130925E-020
 -0.112099998      -2.79747614E-10  -2.7974761396265535E-020
 -0.112049997      -2.92139618E-10  -2.9213961805218959E-020
 -0.112000003      -3.05074410E-10  -3.0507441017846304E-020
 -0.111950003      -3.18575527E-10  -3.1857552706959782E-020
 -0.111900002      -3.32667421E-10  -3.3266742138771122E-020
 -0.111850001      -3.47375628E-10  -3.4737562826236966E-020
 -0.111800000      -3.62726849E-10  -3.6272684855731539E-020
 -0.111749999      -3.78748810E-10  -3.7874881009258843E-020
 -0.111699998      -3.95470517E-10  -3.9547051744470708E-020
 -0.111649998      -4.12922169E-10  -4.1292216867994114E-020
 -0.111599997      -4.31135266E-10  -4.3113526637661438E-020
 -0.111550003      -4.50142618E-10  -4.5014261762510441E-020
 -0.111500002      -4.69978445E-10  -4.6997844505014541E-020
 -0.111450002      -4.90678498E-10  -4.9067849783313023E-020
 -0.111400001      -5.12279941E-10  -5.1227994068980822E-020
 -0.111350000      -5.34821576E-10  -5.3482157591488998E-020
 -0.111299999      -5.58343871E-10  -5.5834387113762321E-020
 -0.111249998      -5.82888904E-10  -5.8288890381064101E-020
 -0.111199997      -6.08500750E-10  -6.0850074978802127E-020
 -0.111149997      -6.35225150E-10  -6.3522515025837837E-020
 -0.111100003      -6.63109845E-10  -6.6310984481177112E-020
 -0.111050002      -6.92204627E-10  -6.9220462695085419E-020
 -0.111000001      -7.22561511E-10  -7.2256151062433108E-020
 -0.110950001      -7.54234453E-10  -7.5423445267119855E-020
 -0.110900000      -7.87279852E-10  -7.8727985242110778E-020
 -0.110849999      -8.21756552E-10  -8.2175655169436373E-020
 -0.110799998      -8.57725724E-10  -8.5772572377962318E-020
 -0.110749997      -8.95251318E-10  -8.9525131752310467E-020
 -0.110699996      -9.34399780E-10  -9.3439977977283205E-020
 -0.110650003      -9.75240555E-10  -9.7524055497899558E-020
 -0.110600002      -1.01784581E-09  -1.0178458076381957E-019
 -0.110550001      -1.06229103E-09  -1.0622910329161073E-019
 -0.110500000      -1.10865450E-09  -1.1086545015359662E-019
 -0.110450000      -1.15701837E-09  -1.1570183700015946E-019
 -0.110399999      -1.20746757E-09  -1.2074675703743765E-019
 -0.110349998      -1.26009114E-09  -1.2600911425408867E-019
 -0.110299997      -1.31498157E-09  -1.3149815680790766E-019
 -0.110250004      -1.37223533E-09  -1.3722353253697861E-019
 -0.110200003      -1.43195322E-09  -1.4319532226636512E-019
